epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,1211.87,1.09022,0.83975,1.09267,0.62464,0.84666,0.81105,0.50567,1.20445,0.96402,1.32596,0.000254127,0.000254127,0.000254127
23,1247.9,1.08909,0.80786,1.09239,0.69151,0.83058,0.81399,0.5256,1.21041,0.9026,1.31596,0.000245514,0.000245514,0.000245514
24,1300.69,1.04058,0.80759,1.07224,0.74638,0.69645,0.72656,0.46982,1.21462,0.964,1.33005,0.000236901,0.000236901,0.000236901
25,1339.45,1.0312,0.77071,1.05113,0.69142,0.87278,0.82487,0.52615,1.17139,0.86834,1.29676,0.000228288,0.000228288,0.000228288
26,1395.78,1.05004,0.94589,1.03928,0.70153,0.83193,0.83228,0.53784,1.16932,0.87703,1.29829,0.000219675,0.000219675,0.000219675
27,1451.97,0.99718,0.74897,1.05654,0.86187,0.70385,0.84462,0.52196,1.13567,0.86567,1.26537,0.000211062,0.000211062,0.000211062
28,1505.1,1.03029,0.75174,1.08246,0.75081,0.76273,0.80304,0.50486,1.1708,0.83591,1.29239,0.000202449,0.000202449,0.000202449
29,1554.19,0.98513,0.72829,1.04267,0.8674,0.72416,0.86834,0.55895,1.15052,0.81014,1.26112,0.000193836,0.000193836,0.000193836
30,1603.96,0.95313,0.65284,1.02139,0.71974,0.8174,0.85624,0.53884,1.18247,0.83338,1.29672,0.000185223,0.000185223,0.000185223
31,1664.45,0.9655,0.6695,1.01754,0.78568,0.67047,0.78847,0.53688,1.15698,0.82091,1.29778,0.00017661,0.00017661,0.00017661
32,1720.31,0.94848,0.65202,1.00682,0.81451,0.74013,0.81737,0.52824,1.16806,0.77927,1.26936,0.000167997,0.000167997,0.000167997
33,1758.9,0.93103,0.62015,1.01096,0.77077,0.72807,0.78261,0.51847,1.11297,0.77231,1.24743,0.000159384,0.000159384,0.000159384
34,1807.85,0.91796,0.60973,1.00596,0.8324,0.79438,0.85049,0.52993,1.15901,0.76764,1.29033,0.000150771,0.000150771,0.000150771
35,1943.45,0.90045,0.61135,0.99513,0.83839,0.76441,0.86922,0.56655,1.11703,0.77436,1.26232,0.000142158,0.000142158,0.000142158
36,2001.72,0.9024,0.59586,0.98974,0.73884,0.77429,0.81732,0.52675,1.1411,0.76935,1.27495,0.000133545,0.000133545,0.000133545
37,2041.22,0.88654,0.61093,0.99019,0.8262,0.77787,0.84697,0.54671,1.12485,0.72941,1.26589,0.000124932,0.000124932,0.000124932
38,2091.39,0.86872,0.56715,0.9855,0.78875,0.83772,0.89102,0.58092,1.1208,0.70222,1.26352,0.000116319,0.000116319,0.000116319
39,2145.6,0.87458,0.57329,0.9809,0.79128,0.84949,0.88466,0.58752,1.13229,0.72544,1.26359,0.000107706,0.000107706,0.000107706
40,2202.14,0.83944,0.53576,0.96556,0.87581,0.83404,0.90405,0.58869,1.11391,0.72027,1.24888,9.9093e-05,9.9093e-05,9.9093e-05
41,2250.45,0.85174,0.53012,1.00833,0.73724,0.81012,0.82563,0.55142,1.13931,0.74116,1.27602,9.048e-05,9.048e-05,9.048e-05
